Block,Type,Class,Defined In,Element
insights-grid__panel,Block,insights-grid__panel,insights-grid.css,
insights-grid__panel,Modifier,insights-grid__panel--highlighted,insights-grid.css,
insights__category-item,Block,insights__category-item,,
insights__category-item,Modifier,insights__category-item--active,,
language-selector,Block,language-selector,navigation.css,
layout,Block,layout,layout.css,
layout,Element,layout__wrapper,layout.css,
layout-with-image,Block,layout-with-image,layouts.css,
layout-with-image,Element,layout-with-image__image,layouts.css,
markets-page,Block,markets-page,,
markets-page,Element,markets-page__countries,markets.css,
markets-page,Element,markets-page__country-badge,markets.css,
markets-page,Element,markets-page__map,markets.css,
markets-page,Element,markets-page__map-placeholder,markets.css,
markets-page,Element,markets-page__map-subtitle,markets.css,
markets-page,Element,markets-page__opportunity-text,markets.css,
markets-page,Element,markets-page__plus-indicator,markets.css,
markets-page,Element,markets-page__region-list,markets.css,
markets-page,Element,markets-page__spotlight,markets.css,
markets-page,Element,markets-page__spotlight-item,markets.css,
markets-page__group,Block,markets-page__group,,
markets-page__group,Modifier,markets-page__group--plus,markets.css,
markets-page__group,Modifier,markets-page__group--primary,markets.css,
ml-embedded,Block,ml-embedded,"footer.css, forms.css",
ml-form-embedBody,Block,ml-form-embedBody,forms.css,
ml-form-embedWrapper,Block,ml-form-embedWrapper,forms.css,
ml-form-fieldRow,Block,ml-form-fieldRow,forms.css,
ml-form-horizontalRow,Block,ml-form-horizontalRow,forms.css,
ml-form-successBody,Block,ml-form-successBody,forms.css,
mobile-form-wrapper,Block,mobile-form-wrapper,"about.css, forms.css",
newsletter-container,Block,newsletter-container,forms.css,
page-content,Block,page-content,forms.css,
panel,Block,panel,"discovery-bem.css, panels-bem.css",
panel,Element,panel__conclusion-text,panels-bem.css,
panel,Element,panel__content,"about.css, home.css, panels-bem.css",
panel,Element,panel__heading-primary,"home.css, panels-bem.css",
panel,Element,panel__heading-secondary,"about.css, panels-bem.css",
panel,Element,panel__lead-text,"about.css, panels-bem.css, text.css",
panel,Element,panel__paragraph,panels-bem.css,
panel,Element,panel__subtitle,"home.css, panels-bem.css",
panel,Modifier,panel--accent,"about.css, panels-bem.css",
panel,Modifier,panel--accent-dark,panels-bem.css,
panel,Modifier,panel--accent-dark-pattern,panels-bem.css,
panel,Modifier,panel--accent-pattern,panels-bem.css,
panel,Modifier,panel--centered,panels-bem.css,
panel,Modifier,panel--cta,"about.css, home.css, panels-bem.css",
panel,Modifier,panel--discovery,discovery-bem.css,
panel,Modifier,panel--hero,"home.css, panels-bem.css",
panel,Modifier,panel--hero-image,home.css,
panel,Modifier,panel--impact,home.css,
panel,Modifier,panel--light,"about.css, panels-bem.css",
panel,Modifier,panel--primary,"about.css, home.css, panels-bem.css",
panel,Modifier,panel--primary-dark,panels-bem.css,
panel,Modifier,panel--primary-dark-pattern,panels-bem.css,
panel,Modifier,panel--primary-pattern,panels-bem.css,
panel,Modifier,panel--quaternary,panels-bem.css,
panel,Modifier,panel--quaternary-pattern,panels-bem.css,
panel,Modifier,panel--secondary,"about.css, home.css, panels-bem.css",
panel,Modifier,panel--secondary-pattern,panels-bem.css,
panel,Modifier,panel--text,panels-bem.css,
panel-content,Block,panel-content,forms.css,
panel__heading-secondary,Block,panel__heading-secondary,"about.css, panels-bem.css",
panel__heading-secondary,Modifier,panel__heading-secondary--after-lead,panels-bem.css,
perspective-list,Block,perspective-list,"about.css, panels-bem.css",
russian-sectors,Block,russian-sectors,,
russian-sectors,Element,russian-sectors__column,russian-sectors.css,
russian-sectors,Element,russian-sectors__columns,russian-sectors.css,
russian-sectors,Element,russian-sectors__cta-btn,russian-sectors.css,
russian-sectors,Element,russian-sectors__footer,russian-sectors.css,
